name,category,description,user_id,wtf_phrase,activity,price
Master Yoda,Star Wars,"900-year-old Jedi Master, expert in the Force and cryptic phrases. He walks slowly but can lift you with his mind",,"""Hungry, I am. Pizza, you should order.""",Makes you meditate balanced on a rock all day.,
Darth Vader,Star Wars,"Imposing Sith Lord, expert in remote choking and questionable fatherhood. Legendary breathing included",,"""I am your father… available as a paid option.""","Stands in a corner, breathes loudly, and threatens your guests.",
Sauron,The Lord of the Rings,Flaming eye obsessed with a ring. Loves watching people without ever blinking.,,"""I'm watching you, everywhere, always.""",Stares at everything you do and whispers your name softly.,
Link,The Legend of Zelda,"Silent hero in a green tunic, spends his time smashing pots and collecting rupees.",,“HYAAAAAHH!”,Breaks all your furniture and leaves without explanation,
Stilgar,Dune,"Ultra-charismatic Fremen leader, drinks his own sweat, and honors the desert rituals.",,"""Water is life... but your life, that's my problem.""",Insists on recycling your urine into drinking water.,
Elsa,La Reine des Neiges,"Reine aux pouvoirs de glace, aime chanter et transformer tout ce qu’elle touche en hiver éternel.",,"“Libérée, délivrée… je vais te congeler.”",Transforme ta maison en station de ski improvisée.,
Aizen,Bleach,"Manipulateur de génie, toujours cinq coups d’avance. Il parle doucement pour mieux t’humilier.",,“Tout était prévu depuis le début.”,"Te fait croire que c’est toi qui l’as loué alors qu’en fait, c’est lui qui t’a piégé.",
Geralt,The Witcher,"Chasseur de monstres ronchon, expert en potions douteuses et en grognements profonds.",,“Hmm.”,"Boit, se bat avec des créatures invisibles et donne des conseils cyniques.",
Jon Snow,Game of Thrones,Homme torturé qui sait… qu’il ne sait rien. Aime se morfondre et éviter toute forme de bonheur.,,"“Je ne veux rien, sauf mourir encore une fois.”",Reste debout sous la pluie en fixant l’horizon.,
Samus Aran,Metroid,"Chasseuse de primes ultra-équipée, capable de survivre dans l’espace et de rouler en boule.",,“Silencieuse mais mortelle.”,Tire sur des aliens imaginaires et active son armure en pleine nuit.,
Arthur Morgan,Red Dead Redemption,"Cowboy bourru au grand cœur, peut pêcher, chasser et mourir d’une toux ... c'est ... dramatique.",,“Je crois que je vais cracher un truc là…”,Te raconte des histoires de hors-la-loi au coin du feu.,
Baby Yoda,Star Wars,"Petit être vert incroyablement mignon, mange n’importe quoi, touche à tout et dort beaucoup. Un vrai bébé ... mais vert.",,“Mange une grenouille entière en te fixant.”,Met tout ce qu’il trouve dans sa bouche et s’endort sur ta table.,
Light Yagami,Death Note,"Étudiant intelligent et légèrement mégalomane, peut tuer avec un carnet et un stylo.",,“Ton nom… c’est quoi déjà ?”,Note des noms au hasard et rit machiavéliquement.,
Joker,DC Comics,"Psychopathe anarchiste, adore exploser des trucs et rendre les gens fous.",,“Pourquoi tant de sérieux ?”,Peint ton salon en violet et te raconte des blagues perturbantes.,
Arthur Pendragon,Légendes Arthuriennes,"Roi légendaire de Camelot, gentil mais naïf, adore les épées coincées dans la pierre.",,“Épée gratuite pour qui arrive à la retirer.”,Se bat avec des moulins à vent en pensant que ce sont des dragons.,
R2-D2,Star Wars,"Petit droïde bruyant, capable de pirater n’importe quoi et d’être sarcastique avec des bips. Traducteur en option.",,“BIP BIP BOP BOOOP!”,Te suit partout en faisant des bruits stressants.,
